Business Name,Description,Industry Code,Industry,Employees,Address,Mailing Address,Distance,Phone,Key Contact,Title,Web Site,Established
Paperless Solutions Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"3580 Progress Dr # I BENSALEM, PA 19020-5800",,3.7,215-604-1330,Alexa Chudzinski,Marketing,,2006
Alpha Beta Computer Solutions,Computer Services,541500,Computer Systems Design and Related Services,10-99,"1837 Parkview Ave BRISTOL, PA 19007-6715",,3.7,215-287-0742,Chris Cinalli,Owner,ALPHABETACOMPUTER.COM,2015
Broad Street Media LLC,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"3412 Progress Dr BENSALEM, PA 19020-5817",,3.8,215-354-3054,,,NORTHEASTTIMES.COM,2019
Kimmel Group,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"58 Bentwood Dr WESTAMPTON, NJ 08060-5640",,3.8,609-835-4552,,,,2003
Taylor Software Svc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,1-4,"1107 Sheffield Ct BENSALEM, PA 19020-4824",,3.8,215-244-4565,R Taylor,Owner,,1994
Totalweb Co,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"3070 Bristol Pike # 203 BENSALEM, PA 19020-5364",,4.1,267-304-2519,Greg Rusk,Other,TOTALWEBCOMPANY.COM,2012
Madads Media,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1248 William Penn Dr BENSALEM, PA 19020-4377",,4.2,856-874-8928,,,,2019
Adam York,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"69 Blue Ridge Dr LEVITTOWN, PA 19057-3021",,4.2,215-943-5838,,,,2003
Lexicon International Corp,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"1400 Adams Rd # A BENSALEM, PA 19020-3965","PO Box 20850
Fountain Valley, CA 92728-0850",4.3,215-639-8220,,,LEXICON-INT.COM,2018
Xcent,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99,"7900 N Radcliffe St # 13 BRISTOL, PA 19007-5900",,4.3,215-269-6500,,,XCENT.COM,2019
Emco Technology Inc,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"6021 Ward Ln LEVITTOWN, PA 19057-4305",,4.5,215-547-7904,Emil Pilacik Jr,President,,2008
Open Space Digital Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"24 Farmbrook Dr LEVITTOWN, PA 19055-2101",,4.7,215-000-1111,,,,2020
PDC Tech Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"2695 June Ave BENSALEM, PA 19020-4169",,4.8,215-000-1111,,,,2022
Alexander Schneider USA Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"501 Cambria Ave BENSALEM, PA 19020-7213",,4.8,888-851-5782,Oz Shahar,President,,2016
Wrazy,Computers-Support Services,541500,Computer Systems Design and Related Services,5-9,"501 Cambria Ave # 374 BENSALEM, PA 19020-7213",,4.8,855-770-0998,,,WRAZY.COM,2023
Midnshift Technologies,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"6139 Bristol Emilie Rd LEVITTOWN, PA 19057-2802",,4.9,215-946-5877,Dawn Curran,Manager,RICOH-USA.COM,2008
Choksi Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"2488 Headhouse Sq S BENSALEM, PA 19020-3668","6096 Spindle Tree Ct
Woodbridge, VA 22193-6026",5.1,215-639-2913,Pragnay Choksi,Owner,PROKSISYSTEMS.COM,2011
Calkins Digital Solutions,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"8400 Bristol Pike LEVITTOWN, PA 19057-5117",,5.2,215-000-1111,Yancey Douris,Director,,2015
Embrace Computers It Support,Computers-Networking,541500,Computer Systems Design and Related Services,5-9,"200 Jnwd Dr Lvttwn Pa 19055 Un LEVITTOWN, PA 19055",,5.2,888-331-8448,,,,2023
Umax Systems LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"48 Cypress Point Rd MT HOLLY, NJ 08060-4742",,5.2,609-261-2510,,,,2011
GXP Partners LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"18 Spicebush Rd LEVITTOWN, PA 19056-2213",,5.5,215-752-8699,David Smith,President,GXPPARTNERS.COM,2002
Inverse Paradox LLC,Website Design Service,541500,Computer Systems Design and Related Services,10-99,"3 Hulme Ave HULMEVILLE, PA 19047-5617",,5.5,215-478-6586,Melissa Cherepanya,Owner,INVERSEPARADOX.COM,2009
Driscoll Web Development,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"3060 Bristol Rd # 296 BENSALEM, PA 19020-2104",,5.7,609-937-2116,,,DRISCOLLWEBDEV.COM,2020
Data Vista,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99,"5198 US Highway 130 # A BORDENTOWN, NJ 08505-4621",,5.7,609-424-0570,Stephen Gifford,President,,1999
Jobecca Technology Group LLC,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"970 Durham Rd LANGHORNE, PA 19047-5739",,5.9,215-891-9501,Michael Einbinderschat,Owner,,2003
Automated Computer Svc,Data Systems Consultants & Designers,541500,Computer Systems Design and Related Services,1-4,"822 Fir Ave LANGHORNE, PA 19047-5474",,5.9,215-702-0901,Chris Bradbury,President,,1995
Hkmtech Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"324 Thunder Cir BENSALEM, PA 19020-2162",,6,215-000-1111,,,,2021
VKS Consulting Group LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"5 Doral Ct MOORESTOWN, NJ 08057-3971",,6.2,856-000-1111,,,,2022
Able Technology,Computer Services,541500,Computer Systems Design and Related Services,1-4,"201 Fleetwood Ave MT LAUREL, NJ 08054-2016",,6.4,856-266-9740,Brian Minker,Owner,ABLETP.NET,2013
Micro Technology Group,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"520 State Rd # A BENSALEM, PA 19020-7831",,6.4,215-247-8324,Ettore Dragone,Owner,247TECH.COM,1989
Compudata Inc,Computers-Networking,541500,Computer Systems Design and Related Services,10-99," PHILADELPHIA, PA 19154-1087",,6.5,215-969-1000,Angela M Nadeau,President,COMPUDATA.COM,1971
Lord Computer Inc,Computer Services,541500,Computer Systems Design and Related Services,1-4,"50 Centre St LANGHORNE, PA 19047-5232",,6.6,267-512-6925,Gary Medina,Owner,LORDCOMPUTER.COM,2014
Storm Front BBS,Computer Consultants,541500,Computer Systems Design and Related Services,1-4,"18 Craig Dr COLUMBUS, NJ 08022-1204",,6.6,609-000-1111,William J Bailey,Owner,,2018
Pics Itech,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"46 High St MT HOLLY, NJ 08060-1702",,6.7,609-702-3920,Michael Procopio,CIO/CTO,OMEGASYSTEMSCORP.COM,1995
Engine 9STUDIOS,Computer Graphics,541500,Computer Systems Design and Related Services,1-4,"100 Ashurst Ln MT HOLLY, NJ 08060-1202","PO Box 250
Mt Holly, NJ 08060-0250",6.7,609-784-8049,,,,2013
Unlimited Computer Solutions,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"3601 Fenn Dr PHILADELPHIA, PA 19154-4112",,6.7,215-632-9015,,,,2012
Key Communications,Data Systems Consultants & Designers,541500,Computer Systems Design and Related Services,1-4,"1819 Underwood Blvd DELRAN, NJ 08075-1246",,6.7,856-461-4585,,,,2008
Wizard's PC Svc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4," LEVITTOWN, PA 19054",,6.9,267-767-4224,,,,2010
Elite Services,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"9860 Frankford Ave # 1 PHILADELPHIA, PA 19114-2010",,7,215-303-2980,,,,2015
Infoglobesys Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"3 Melissa Ct MOORESTOWN, NJ 08057-2153","788 Waymarket Dr
Ann Arbor, MI 48103-6445",7.1,856-000-1111,,,,2022
Moving Forward It,Information Technology Services,541500,Computer Systems Design and Related Services,5-9," FEASTERVL TRVS, PA 19053",,7.2,215-504-5050,Christo Ramo,Manager,,2018
Mastertel USA Inc,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"100 Technology Way MT LAUREL, NJ 08054-9789",,7.3,856-234-9400,,,MASTERTELUSA.COM,2018
AC Web Creations,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"5225 Arendell Ave PHILADELPHIA, PA 19114-4229",,7.3,215-870-9443,Anna Callaghan,Owner,,2003
Leverage Solutions Consltng,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"5 Interplex Dr FEASTERVL TRVS, PA 19053-6941",,7.3,215-000-1111,,,LEVERAGESC.COM,2018
Pragmatics Inc,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"5 Interplex Dr # 205 FEASTERVL TRVS, PA 19053-6932",,7.3,215-244-0242,Drew Velten,Manager,PRAGMATICS.COM,2012
DSA Inc,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"8 Interplex Dr # 209 FEASTERVL TRVS, PA 19053-6980",,7.3,215-245-4800,Frances Pierce,President,DSAINC.COM,1963
Zalut Consulting LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"4 Wembley Dr MT LAUREL, NJ 08054-3117",,7.4,908-000-1111,,,,2022
Innovative Technology Holdings,Computer Related Services NEC,541500,Computer Systems Design and Related Services,10-99,"240 Middletown Blvd # 100 LANGHORNE, PA 19047-1832",,7.4,215-000-1111,,,INNOVATIVETECHHOLDINGS.COM,2015
B & C Computer Solutions,Computer Services,541500,Computer Systems Design and Related Services,5-9,"702 Main St # 264 LUMBERTON, NJ 08048-8010",,7.4,800-731-6494,,,EMERGENCYZONES.COM,2015
CSST Software LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"100 Mount Holly By Pass LUMBERTON, NJ 08048-1112",,7.5,609-000-1111,,,EMPOWORBYCSST.COM,2021
Inverse Paradox LLC,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"3 Hulme Ave Johnson House HULMEVILLE, PA 19047",,7.5,215-478-6586,,,INVERSEPARADOX.COM,2007
Nekey,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"740 Marne Hwy # 105 MOORESTOWN, NJ 08054-3126",,7.6,888-869-1331,,,NEKEY.COM,2023
R Scheipe Consulting Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"25 Red Hill Ct MT LAUREL, NJ 08054-3192",,7.7,609-332-8453,,,NEWJERSEYBIDS.US,2017
Ancero LLC,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"5000 Dearborn Cir # 300 MT LAUREL, NJ 08054-4100",,7.7,856-210-5800,Barbara Hizer,Director,ANCERO.COM,1998
Virgo Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99,"400 Middletown Blvd # 107 LANGHORNE, PA 19047-1819",,7.9,215-310-1562,Ramesh Pothuru,Owner,,2007
Perspecta LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"1170 Wheeler Way # 200 LANGHORNE, PA 19047-3248",,7.9,866-498-4423,John Zubak,CEO,PERSPECTA.COM,2006
Gridai Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"3809 Brownsville Rd TREVOSE, PA 19053-7957",,8.1,215-000-1111,,,GRIDAI.NET,2020
Lionobytes LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"272 Dunns Mill Rd BORDENTOWN, NJ 08505-4748",,8.2,609-531-0899,Arun Upadhyay,Sales,LIONO360.COM,2018
Seo Sparta,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"15 Bowman Dr FEASTERVL TRVS, PA 19053-1602",,8.4,215-900-9398,Oleksandr Stepman,Owner,SEOSPARTA.COM,2005
Vujaday Creative Digital Agcy,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"821 Green Ridge Cir LANGHORNE, PA 19053-1966",,8.5,267-784-0279,,,VUJADAYDIGITAL.COM,2017
Idea Lab Digital,Website Design Service,541500,Computer Systems Design and Related Services,10-99,"133 E Main St # 1 MOORESTOWN, NJ 08057-2929",,8.7,856-642-0007,Diane Pilla,Exec Officer,,2016
Gtime Consultancy Svc LLC,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"1591 Jason Dr CINNAMINSON, NJ 08077-1557","2496 Route 130 N
Cinnaminson, NJ 08077-8099",8.7,856-000-1111,,,GTIMECS.ORG,2017
Aim Document Management,Computer Graphics,541500,Computer Systems Design and Related Services,10-99,"510 N Belleview Ave CINNAMINSON, NJ 08077-1535","PO Box 2343
Cinnaminson, NJ 08077-5343",8.7,856-314-8252,,,AIMDOCUMENT.COM,2003
Otava,Hardware Consultants,541500,Computer Systems Design and Related Services,1-4,"26 E 2nd St MOORESTOWN, NJ 08057-3344",,8.9,856-206-9148,,,OTAVAINC.COM,2018
CTRL Z Group LLC,Information Technology Services,541500,Computer Systems Design and Related Services,10-99," PHILADELPHIA, PA 19116",,8.9,267-603-2181,,,CTRLZ-GROUP.COM,2016
Cyber Security Consulting Ops,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"309 Fellwshp Rd E Gte Center M MT LAUREL, NJ 08054",,9,856-000-1111,,,CYBERSECURITYCONSULTINGOPS.COM,2023
Teamlogic IT,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"309 Fllwshp Rd # 200 Astgatece MT LAUREL, NJ 08054-1234",,9,856-234-2136,Stewart Paul,Owner,TEAMLOGICIT.COM,2019
Purple Star Media,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"148 E Street Rd # 188 FEASTERVL TRVS, PA 19053-7604",,9,267-288-5785,,,PURPLESTARMEDIA.COM,2015
Sides Media Studio,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"11 Franklin Ave FEASTERVL TRVS, PA 19053-6410",,9,215-774-1055,Daniel Sides,Manager,SIDESSTORE.COM,2007
Keefe Commissary Network,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"7901 State Rd PHILADELPHIA, PA 19136-3407",,9.1,215-685-7942,,,KEEFEGROUP.COM,2015
Tlksolution,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"2133 Grant Ave PHILADELPHIA, PA 19115-4309",,9.2,215-856-3552,,,,2015
Creative Web Results LLC,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"10871 Bustleton Ave # 120 PHILADELPHIA, PA 19116-3301",,9.2,888-493-6170,Kurien Abraham,Exec Officer,CREATIVEWEBRESULTS.COM,2010
ACAD.US.COM LLC,Computer Consultants,541500,Computer Systems Design and Related Services,1-4,"230 W 2nd St MOORESTOWN, NJ 08057-2328",,9.2,856-369-1972,Dustin Cucinotta,Owner,ACAD.US.COM,1971
Agapi Lab Solutions,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"301 Oxford Valley Rd YARDLEY, PA 19067-7706","301 Oxford Valley Rd # 505B
Yardley, PA 19067-7711",9.2,267-397-3345,,,AGAPILABSOLUTIONS.COM,2017
Alankok,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"214 W Main St # L6 MOORESTOWN, NJ 08057-2300",,9.2,609-474-8109,,,ALANKOK.US,2020
CSG Technologies-Nj,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"214 W Main St MOORESTOWN, NJ 08057-2345",,9.2,856-231-8001,Marc Tucker,Owner,CSGTECH.COM,1994
Distributed Computing Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"30 Twosome Dr MOORESTOWN, NJ 08057-1370",,9.2,856-914-0233,,,DISTCOMP.COM,2019
Technology Services LLC,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,10-99,"800 N Church St # 105 MOORESTOWN, NJ 08057-1773",,9.3,856-234-9993,Peter Carlyle,President,TECHSERVICESLLC.COM,2006
Digipulse Technologies Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"68 Stacy Haines Rd LUMBERTON, NJ 08048-4106",,9.4,609-265-1666,,,,2017
Blue Horizon Devmnt & Software,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"1247 N Church St # 5 MOORESTOWN, NJ 08057-1153","PO Box 664
Moorestown, NJ 08057-0664",9.4,856-231-4458,William Lundgren,President,,1968
Networks Plus,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"504 Route 130 N CINNAMINSON, NJ 08077-3370",,9.4,856-786-3500,Jerry Caruso,Vice President,NETWORKSPLUSCO.COM,2005
APM Systems Inc,Computers-Networking,541500,Computer Systems Design and Related Services,5-9,"1313 S Pennsylvania Ave MORRISVILLE, PA 19067-1275",,9.5,215-295-1097,,,APMIT.COM,2002
Seagal Solutions Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"361 Gardner St PHILADELPHIA, PA 19116-2733","PO Box 1463
Southampton, PA 18966-0831",9.5,215-000-1111,,,,2018
Eab Enterprises Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"303 E Pennsylvania Blvd FEASTERVL TRVS, PA 19053-7846","PO Box 938
Newtown, PA 18940-0844",9.6,215-860-7910,Edward Bradbury,President,EABENTERPRISES.COM,1984
Managed Services It,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"304 E Pennsylvania Blvd # 2 FEASTERVL TRVS, PA 19053-7846",,9.6,215-355-3997,Lori Powell,Manager,MANAGEDSERVICESIT.COM,2012
Validation Associates Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,1-4,"305 E Pennsylvania Blvd FEASTERVL TRVS, PA 19053-7846",,9.6,215-354-1720,Nancy Tucker,Owner,VALIDATIONASSOCIATES.COM,2000
Emaxed,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"212 W Route 38 # 106 MOORESTOWN, NJ 08057-3260",,9.6,856-428-8038,Michael Zielinski,CEO,EMAXED.COM,2008
Web Development Svc,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"201 Buck Rd HOLLAND, PA 18966-1715",,9.6,215-354-1239,,,,2000
Total Technology Resources,Computer Consultants,541500,Computer Systems Design and Related Services,1-4,"10063 Sandmeyer Ln # 100 PHILADELPHIA, PA 19116-3501",,9.7,215-464-8121,Justin Colantonio,Owner,THETECHRESOURCE.COM,2004
Acclaim Systems Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,100-499,"110 E Pennsylvania Blvd FEASTERVL TRVS, PA 19053-7843",,9.7,215-354-1420,Kailash Kalantri,CEO,ACCLAIMSYSTEMS.COM,1997
C & R Communications Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"875 Pennsylvania Blvd # 5 FEASTERVL TRVS, PA 19053-7800",,9.7,215-000-1111,,,CANDRCOMMUNICATIONSGROUP.COM,2021
Top Notch Computer Solutions,Computers-Networking,541500,Computer Systems Design and Related Services,10-99,"10067 Sandmeyer Ln PHILADELPHIA, PA 19116-3533","PO Box 21357
Philadelphia, PA 19141-0357",9.7,215-843-5056,Stokley Tomlinson,Owner,TNCSPRO.COM,2008
Liberty Technology Solutions,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"1503 Glen Ave # 130 MOORESTOWN, NJ 08057-1144",,9.7,856-762-1222,Gerry Gordon,CEO,LIBERTYLTS.COM,1996
Dascase Technologies Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"81 Big Oak Rd # 134 YARDLEY, PA 19067-7802",,9.8,215-395-6373,E G Manoj Kumar,Manager,DASCASE.COM,2019
Matchpoint Consulting,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"300 W Route 38 MOORESTOWN, NJ 08057-3233",,10,856-439-6493,,,,2011
Agility Consulting LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"39 Periwinkle Dr MT LAUREL, NJ 08054-5702",,10,856-000-1111,,,,2020
Trinity Information Tech LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"310 Floral Vale Blvd YARDLEY, PA 19067-5525",,10,267-000-1111,,,,2021
Discount Computer Svc Inc,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"8408 Large St PHILADELPHIA, PA 19152-1905",,10.1,215-856-0400,Adam Vogel,President,DISCOUNTCOMPUTERSERVICES.COM,2012
Healthweb Solutions,Information Technology Services,541500,Computer Systems Design and Related Services,5-9,"668 Stony Hill Rd YARDLEY, PA 19067-4498",,10.1,215-295-5100,Joe Coyne,CEO,WW5.HEALTHWEB-SOLUTIONS.COM,2015
Techna Grow,Information Technology Services,541500,Computer Systems Design and Related Services,10-99," YARDLEY, PA 19067",,10.1,215-801-2292,,,TECHNAGROW.COM,2019
FCC Consulting Svc LLC,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,1-4,"39 Birmingham Dr COLUMBUS, NJ 08022-2343",,10.1,609-000-1111,Chris Carothers,President,FCCCONSULTINGSERVICES.COM,2016
Line & Tone,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"17 W Spring Garden St PALMYRA, NJ 08065-2548",,10.1,609-321-4403,Jonathan Evans,Owner,LINEANDTONE.COM,2011
Chenosa Systems Corp,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"302 Harper Dr MOORESTOWN, NJ 08057-4701",,10.1,609-953-6850,,,PROPHOENIX.COM,2016
Computer Helpline Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,1-4,"801 W Street Rd # 4 FEASTERVL TRVS, PA 19053-7335",,10.2,215-953-9930,Bruce Diamond,President,,1996
Databank's Healthcare Div,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"458 Pike Rd HUNTINGDON VLY, PA 19006-1610",,10.2,215-322-8100,,,DATABANKIMX.COM,2017
Corporate It Support,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"101 Route 130 S CINNAMINSON, NJ 08077-2845",,10.2,856-499-2528,,,,2005
Viking Technology Solutions,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"101 Route 130 S CINNAMINSON, NJ 08077-2845",,10.2,856-499-2343,,,,2015
J P S Systems LLC,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"1790 Yardley Langhorne Rd YARDLEY, PA 19067-5523",,10.2,215-321-3690,,,,2013
PCS,Computer Consultants,541500,Computer Systems Design and Related Services,5-9,"304 Harper Dr # 130 MOORESTOWN, NJ 08057-3247",,10.2,856-596-4446,Anthony Mongeluzo,CEO,HELPMEPCS.COM,2000
Vortechs Automation Inc,Computer Rooms Monitoring & Management,541500,Computer Systems Design and Related Services,5-9,"470 Veit Rd # A HUNTINGDON VLY, PA 19006-1616",,10.2,215-000-1111,,,VTXAUTO.COM,2018
P-Square Solutions LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"307 Fellowship Rd # 104 MT LAUREL, NJ 08054-1233",,10.3,856-840-8000,Reddy Patlolla,Owner,P-SQUARESOLUTIONS.COM,2004
Barlen Group,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"67 Buck Rd # B3 HUNTINGDON VLY, PA 19006-1537",,10.3,215-784-9880,Gus Magazzeni,Manager,,1919
Data Oasis Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"67 Buck Rd # B14 HUNTINGDON VLY, PA 19006-1543",,10.3,215-000-1111,Stewart Garzarelli,President,,2016
